,edit_count,neg_sentiment,sentiment
2009-03-08,0.0,0.375,-0.36877764016389847
2009-08-05,0.0,0.0,0.0
2009-08-06,0.0,0.0,0.497872918844223
2009-08-14,0.0,0.0,0.4650106430053711
2009-10-13,0.0,0.25,-0.11375020444393158
2009-11-18,0.0,0.0,0.4419757127761841
2009-12-08,0.0,0.5,-0.4934637248516083
2009-12-17,0.0,0.5,-0.49875855445861816
2010-02-23,0.0,0.5,-0.4997473359107971
2010-03-18,0.0,0.0,0.4379390478134155
2010-04-13,0.0,0.0,0.42217813432216644
2010-04-15,0.0,0.0625,0.14877817034721375
2010-04-28,0.0,0.25,-0.24750176072120667
2010-05-13,0.0,0.5,-0.48324185609817505
2010-06-17,0.0,0.0,0.497872918844223
2010-06-18,0.0,0.16666666666666666,0.17945951885647243
2010-06-19,0.0,0.0,0.49377956986427307
2010-06-20,0.0,0.0,0.4841899275779724
2010-06-21,0.0,0.07142857142857142,0.20101906572069442
2010-06-23,0.0,0.0,0.4274817034602165
2010-06-28,0.0,0.125,-0.04544823616743088
2010-06-29,0.0,0.0,0.0
2010-07-05,0.0,0.0,0.46803367137908936
2010-07-07,0.0,0.25,-0.07637791335582733
2010-07-08,0.0,0.25,0.009512484073638916
2010-07-09,0.0,0.5,-0.45249229669570923
2010-07-11,0.0,0.15384615384615385,0.07425964566377494
2010-07-12,0.0,0.3333333333333333,-0.14390004674593607
2010-07-13,0.0,0.0,0.12271395325660706
2010-07-14,0.0,0.25,-0.12392169237136841
2010-07-15,0.0,0.5,-0.44746723026037216
2010-07-16,0.0,0.0,0.47374538083871204
2010-07-18,0.0,0.25,-0.0952717512845993
2010-07-19,0.0,0.0,0.3408755660057068
2010-07-21,0.0,0.38235294117647056,-0.28985805546536164
2010-07-22,0.0,0.5,-0.49666351079940796
2010-07-25,0.0,0.25,-0.12452296912670135
2010-07-29,0.0,0.16666666666666666,0.1688508689403534
2010-08-03,0.0,0.5,-0.4953500032424927
2010-08-12,0.0,0.16666666666666666,0.12952046593030295
2010-08-14,0.0,0.5,-0.49972763657569885
2010-08-18,0.0,0.5,-0.4998210072517395
2010-08-21,0.0,0.5,-0.4975984990596771
2010-09-20,0.0,0.5,-0.4670611023902893
2010-09-26,0.0,0.5,-0.4978827089071274
2010-09-27,0.0,0.5,-0.4725792109966278
2010-09-29,0.0,0.5,-0.49946919083595276
2010-10-02,0.0,0.5,-0.4576776921749115
2010-10-05,0.0,0.5,-0.4970758855342865
2010-10-19,0.0,0.0,0.31339001655578613
2010-11-10,0.0,0.0,0.49787893891334534
2010-11-11,0.0,0.5,-0.4964498281478882
2010-11-25,0.0,0.5,-0.48126545548439026
2010-11-26,0.0,0.3333333333333333,-0.14848036567370096
2010-11-28,0.0,0.5,-0.4991019368171692
2010-12-01,0.0,0.0,0.49787893891334534
2010-12-05,0.0,0.16666666666666666,0.004044453303019206
2010-12-10,0.0,0.13333333333333333,0.1318683385848999
2010-12-11,0.0,0.16,0.024535828828811647
2010-12-12,0.0,0.3235294117647059,-0.19004405070753658
2010-12-13,0.0,0.4583333333333333,-0.41397861142953235
2010-12-14,0.0,0.3469387755102041,-0.18562157969085538
2010-12-15,0.0,0.2894736842105263,-0.0776520638089431
2010-12-16,0.0,0.4090909090909091,-0.319663175127723
2010-12-17,0.0,0.5,-0.41189126670360565
2010-12-18,0.0,0.5,-0.4997750520706177
2010-12-19,0.0,0.5,-0.418003249168396
2010-12-20,0.0,0.3181818181818182,-0.161709339781241
2010-12-21,0.0,0.3333333333333333,-0.21770636902915108
2010-12-22,0.0,0.36,-0.2280660080909729
2010-12-23,0.0,0.0,0.4704413414001465
2010-12-24,0.0,0.5,-0.49958887696266174
2011-01-01,0.0,0.0,0.4552820026874542
2011-01-06,0.0,0.5,-0.49983155727386475
2011-01-07,0.0,0.16666666666666666,-0.16514292359352112
2011-01-10,0.0,0.25,-0.12693952023983002
2011-01-11,0.0,0.5,-0.49969226121902466
2011-01-14,0.0,0.25,-0.08932708203792572
2011-01-16,0.0,0.3,-0.15097684860229493
2011-01-17,0.0,0.25,-0.03244404494762421
2011-01-20,0.0,0.5,-0.3322486877441406
2011-01-21,0.0,0.25,-0.17014543215433756
2011-01-22,0.0,0.5,-0.4728139340877533
2011-01-24,0.0,0.375,-0.3326061815023422
2011-01-25,0.0,0.5,-0.27950024604797363
2011-01-26,0.0,0.5,-0.48584407567977905
2011-01-29,0.0,0.5,-0.3909463733434677
2011-01-31,0.0,0.5,-0.49711060523986816
2011-02-01,0.0,0.5,-0.4980080525080363
2011-02-04,0.0,0.5,-0.4998483657836914
2011-02-05,0.0,0.5,-0.4973025470972061
2011-02-06,0.0,0.4166666666666667,-0.3462705959876378
2011-02-10,0.0,0.3125,-0.16765758022665977
2011-02-11,0.0,0.125,0.19858897477388382
2011-02-12,0.0,0.4,-0.3638909161090851
2011-02-13,0.0,0.5,-0.3801838755607605
2011-02-14,0.0,0.5,-0.49844615161418915
2011-02-15,0.0,0.3333333333333333,-0.3297946552435557
2011-02-17,0.0,0.25,-0.041255317628383636
2011-02-18,0.0,0.5,-0.4175078645348549
2011-02-20,0.0,0.5,-0.49809062480926514
2011-02-23,0.0,0.2,0.04671785831451416
2011-02-24,0.0,0.0,0.49166250228881836
2011-02-25,0.0,0.4,-0.3604090690612793
2011-02-26,0.0,0.0,0.2481626719236374
2011-02-28,0.0,0.25,0.10133092105388641
2011-03-01,0.0,0.0,0.4024060070514679
2011-03-04,0.0,0.0,0.24754974246025085
2011-03-07,0.0,0.25,-0.08112546801567078
2011-03-08,0.0,0.375,-0.2930317893624306
2011-03-11,0.0,0.16666666666666666,0.14534343282381693
2011-03-12,0.0,0.5,-0.49619928002357483
2011-03-13,0.0,0.5,-0.3076964020729065
2011-03-14,0.0,0.5,-0.49767008423805237
2011-03-15,0.0,0.5,-0.4855802059173584
2011-03-17,0.0,0.5,-0.4625518321990967
2011-03-18,0.0,0.25,-0.025079786777496338
2011-03-19,0.0,0.5,-0.4981333315372467
2011-03-20,0.0,0.4,-0.2962557554244995
2011-03-21,0.0,0.0,0.4024060070514679
2011-03-22,0.0,0.0,0.4024060070514679
2011-03-23,0.0,0.375,-0.24535397440195084
2011-03-24,0.0,0.5,-0.4982815086841583
2011-03-25,0.0,0.3125,-0.1657283753156662
2011-03-26,0.0,0.25,-0.24909761548042297
2011-03-28,0.0,0.3333333333333333,-0.1989309291044871
2011-03-29,0.0,0.3,-0.10948067307472228
2011-03-30,0.0,0.0,0.40767088532447815
2011-04-02,0.0,0.375,-0.2514926865696907
2011-04-04,0.0,0.125,-0.1245737224817276
2011-04-05,0.0,0.5,-0.49926134943962097
2011-04-06,0.0,0.14285714285714285,0.11622050404548645
2011-04-09,0.0,0.25,0.004549980163574219
2011-04-11,0.0,0.3,-0.20393404364585876
2011-04-12,0.0,0.15,0.023187893629074096
2011-04-13,0.0,0.4,-0.3949415981769562
2011-04-14,0.0,0.35714285714285715,-0.24998572894505092
2011-04-16,0.0,0.3076923076923077,-0.15396669277778038
2011-04-17,0.0,0.0,0.49752722680568695
2011-04-18,0.0,0.5,-0.49855412542819977
2011-04-19,0.0,0.375,-0.2462156042456627
2011-04-20,0.0,0.5,-0.49926555156707764
2011-04-21,0.0,0.25,-0.24902987480163574
2011-04-22,0.0,0.16666666666666666,0.14075302084287009
2011-04-24,0.0,0.0,0.32774457335472107
2011-04-25,0.0,0.5,-0.4976228177547455
2011-04-26,0.0,0.16666666666666666,0.1434465746084849
2011-04-27,0.0,0.3125,-0.15106561034917831
2011-04-28,0.0,0.3333333333333333,-0.17869276801745096
2011-04-29,0.0,0.2,-0.02436712384223938
2011-04-30,0.0,0.0,0.495367169380188
2011-05-02,0.0,0.3,-0.11137408614158631
2011-05-03,0.0,0.0,0.34708717465400696
2011-05-04,0.0,0.0,0.4650106430053711
2011-05-05,0.0,0.25,-0.08557046949863434
2011-05-06,0.0,0.4,-0.36620586514472964
2011-05-08,0.0,0.5,-0.48064109683036804
2011-05-09,0.0,0.0,0.23250532150268555
2011-05-10,0.0,0.0,0.43741127848625183
2011-05-11,0.0,0.0,0.43741127848625183
2011-05-12,0.0,0.3,-0.21083151698112487
2011-05-14,0.0,0.25,-0.07639545202255249
2011-05-15,0.0,0.125,0.1675805300474167
