Adj Close,High,Low,Open,RSI,EMAF,EMAM,EMAS,Target,TargetClass,TargetNextClose
235.427001953125,240.25900268554688,221.26199340820312,221.968994140625,50.01907228743337,229.312807380389,288.6405049182854,327.9327731323242,21.793014526367188,1,257.3210144042969
257.3210144042969,259.8080139160156,235.5279998779297,235.5279998779297,58.174526003544734,231.9802556683802,288.0203169873153,326.9975180498338,-22.681991577148438,0,234.8249969482422
234.8249969482422,265.6109924316406,227.6840057373047,257.5069885253906,49.315763156965836,232.25118340931945,286.96694431327427,325.776689955773,-0.98199462890625,0,233.84300231933594
233.84300231933594,239.52099609375,229.02200317382812,234.8249969482422,48.967016094825404,232.4027852102734,285.91498506586953,324.55902521886657,10.188003540039062,1,243.61000061035156
243.61000061035156,245.77499389648438,232.31399536132812,233.4219970703125,52.54334264937775,233.4701390578999,285.07726260140385,323.48685270749553,-7.4539947509765625,0,236.3260040283203
236.3260040283203,244.25100708007812,232.33999633789062,243.77999877929688,49.75713539075118,233.74212619793994,284.1118911445111,322.33240438061904,3.8730010986328125,1,240.2830047607422
240.2830047607422,242.6719970703125,235.5919952392578,236.41000366210938,51.26141395826332,234.36506701344493,283.24399240423844,321.24565736578626,3.5279998779296875,1,243.7790069580078
243.7790069580078,247.1009979248047,239.2989959716797,240.25100708007812,52.60466823602326,235.2616327224509,282.462507543917,320.2196090160144,0.7819976806640625,1,244.53399658203125
244.53399658203125,255.32000732421875,243.1840057373047,243.7519989013672,52.90499405648145,236.1447149947919,281.7114479209094,319.21715057318016,-8.567001342773438,0,235.9770050048828
235.9770050048828,246.39199829101562,233.8509979248047,244.54400634765625,49.124903858612406,236.12874261480056,280.80581538791876,318.11463208883185,2.897003173828125,1,238.89199829101562
238.89199829101562,240.10899353027344,232.42100524902344,235.9949951171875,50.41793731072603,236.39190982205915,279.97583881174245,317.06532568091376,-0.26300048828125,0,238.73500061035156
238.73500061035156,239.9010009765625,236.40199279785156,238.9980010986328,50.344100657052856,236.61506132570605,279.15918855032874,316.0278379316348,-1.4199981689453125,0,237.47000122070312
237.47000122070312,239.33999633789062,235.52999877929688,238.88999938964844,49.715551145663454,236.69648417284864,278.33366008835594,314.9873367831456,-0.9110107421875,0,236.42599487304688
236.42599487304688,237.7100067138672,234.2570037841797,237.33700561523438,49.17268732841519,236.67072328715324,277.5038053316171,313.94678920817745,17.391998291015625,1,253.8280029296875
253.8280029296875,256.65301513671875,236.43600463867188,236.43600463867188,57.467059140390695,238.30474991977556,277.0349775612819,313.1505138932306,0.7429962158203125,1,254.26300048828125
254.26300048828125,254.69200134277344,249.47900390625,253.52000427246094,57.65214296570284,239.82458330725228,276.58404732221254,312.37054682826437,5.9189910888671875,1,260.2019958496094
260.2019958496094,261.6600036621094,245.93299865722656,254.2830047607422,60.1864725982595,241.76528926366726,276.2596502633491,311.6795726431166,15.313018798828125,1,275.6700134277344
275.6700134277344,276.3009948730469,258.31298828125,260.35699462890625,65.88386780834827,244.99431061262604,276.24797428640625,311.20262483893936,6.656005859375,1,281.7019958496094
